Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,160.039993,160.259995,157.750000,158.690002,158.482986,3004800
2019-04-17,159.050003,159.050003,155.070007,155.339996,155.137344,4765500
2019-04-18,154.899994,156.210007,153.169998,155.990005,155.786499,4391500
2019-04-22,155.449997,159.139999,155.279999,158.759995,158.552887,2943300
2019-04-23,159.759995,161.399994,158.410004,161.229996,161.019653,3418400
2019-04-24,161.880005,162.490005,159.399994,159.559998,159.351837,3384900
2019-04-25,162.000000,163.889999,161.000000,163.089996,162.877228,5498400
2019-04-26,162.419998,166.059998,161.279999,165.960007,165.743500,3342900
2019-04-29,166.710007,167.559998,165.330002,165.360001,165.144272,4509700
2019-04-30,165.190002,166.440002,163.619995,165.350006,165.134293,3581800
2019-05-01,166.009995,166.220001,162.139999,162.149994,161.938461,2707700
2019-05-02,161.690002,162.699997,159.630005,161.830002,161.618881,3181100
2019-05-03,162.580002,163.500000,160.860001,163.339996,163.126907,3131000
2019-05-06,158.619995,162.839996,157.860001,162.500000,162.288010,2520600
2019-05-07,161.330002,161.669998,154.750000,156.899994,156.695313,6541900
2019-05-08,157.110001,157.929993,155.039993,156.860001,156.655365,4061300
2019-05-09,154.649994,157.100006,152.389999,156.309998,156.106079,5809300
2019-05-10,156.279999,160.610001,154.380005,159.940002,159.731354,4462200
2019-05-13,154.919998,156.899994,152.779999,153.149994,152.950195,5694600
2019-05-14,155.050003,158.589996,152.919998,158.070007,157.863800,4954000
2019-05-15,153.820007,156.380005,151.699997,155.059998,154.857712,7783800
2019-05-16,156.759995,159.449997,155.899994,158.479996,158.273254,5048100
2019-05-17,156.179993,157.160004,153.169998,154.570007,154.368362,5314000
2019-05-20,152.470001,156.089996,151.699997,155.979996,155.776505,5437600
2019-05-21,157.360001,157.839996,155.179993,155.779999,155.576767,3803100
2019-05-22,155.869995,158.190002,155.839996,157.639999,157.434341,3170100
2019-05-23,156.029999,156.339996,152.149994,153.710007,153.509476,4508200
2019-05-24,154.889999,156.929993,154.160004,154.509995,154.308426,3151700
2019-05-28,155.350006,157.809998,154.389999,155.190002,154.987549,4934100
2019-05-29,153.759995,154.059998,151.199997,152.889999,152.690552,4359500
2019-05-30,154.320007,155.869995,153.899994,155.660004,155.456940,4418100
2019-05-31,152.660004,154.479996,151.259995,151.410004,151.212479,5326900
2019-06-03,150.699997,150.699997,143.389999,145.100006,144.910721,8835200
2019-06-04,146.050003,150.919998,142.509995,150.809998,150.613251,12375100
2019-06-05,157.149994,158.500000,154.550003,158.440002,158.233307,12072400
2019-06-06,158.500000,160.000000,157.330002,159.309998,159.102173,5601200
2019-06-07,159.839996,162.990005,159.500000,161.270004,161.059616,7175300
2019-06-10,153.479996,157.449997,150.830002,152.789993,152.590668,29856300
2019-06-11,155.309998,155.710007,148.789993,150.149994,149.954117,15214300
2019-06-12,151.110001,152.320007,150.149994,151.279999,151.082642,7161300
2019-06-13,152.160004,152.240005,150.250000,151.339996,151.142563,5173800
2019-06-14,151.039993,151.979996,149.479996,150.009995,149.814301,6248200
2019-06-17,150.199997,151.279999,149.869995,150.289993,150.093933,4491800
2019-06-18,151.880005,152.949997,150.500000,150.589996,150.393539,7317800
2019-06-19,151.690002,154.470001,150.509995,154.139999,153.938919,8095300
2019-06-20,156.289993,158.289993,155.419998,157.199997,156.994919,10153600
2019-06-21,156.669998,157.789993,155.940002,156.839996,156.635391,9706900
2019-06-24,157.389999,157.729996,152.509995,152.559998,152.360977,6378200
2019-06-25,152.830002,152.970001,148.589996,149.339996,149.145172,7362500
2019-06-26,151.279999,151.380005,148.919998,149.039993,148.845566,5844900
2019-06-27,149.889999,150.759995,148.470001,150.690002,150.493423,6832800
2019-06-28,150.419998,151.770004,149.600006,151.729996,151.532059,6936600
2019-07-01,154.570007,154.740005,151.850006,154.059998,153.859009,6476400
2019-07-02,154.289993,154.360001,152.580002,154.119995,153.918930,4736300
2019-07-03,154.539993,155.750000,154.160004,155.589996,155.387024,3885400
2019-07-05,153.949997,154.809998,152.570007,154.580002,154.378342,3940900
2019-07-08,153.520004,153.690002,152.039993,152.809998,152.610641,4717400
2019-07-09,152.080002,154.190002,151.679993,153.949997,153.749161,4979100
2019-07-10,154.570007,156.399994,154.570007,156.270004,156.066147,4966300
2019-07-11,156.820007,159.300003,156.619995,158.899994,158.692703,7083200
