Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,138.699997,139.009995,137.940002,138.300003,128.172272,2370200
2019-07-02,138.460007,139.589996,138.429993,139.350006,129.145386,993200
2019-07-03,140.279999,140.619995,139.850006,140.179993,129.914581,1097000
2019-07-05,138.039993,138.279999,137.089996,138.160004,128.042526,472200
2019-07-08,138.320007,138.710007,137.949997,138.479996,128.339081,477100
2019-07-09,137.570007,138.350006,137.440002,138.279999,128.153717,471600
2019-07-10,137.570007,138.369995,137.199997,137.660004,127.579147,675900
2019-07-11,136.949997,137.490005,136.399994,137.419998,127.356705,525600
2019-07-12,136.250000,136.910004,136.039993,136.770004,126.754318,486500
2019-07-15,136.820007,137.350006,136.500000,137.130005,127.087959,384000
2019-07-16,135.309998,136.080002,134.940002,135.119995,125.225136,595700
2019-07-17,135.679993,136.020004,133.949997,134.220001,124.391052,735500
2019-07-18,126.760002,128.410004,125.610001,127.419998,118.089012,3146800
2019-07-19,126.180000,126.360001,124.470001,124.629997,115.503334,1481700
2019-07-22,125.839996,125.980003,124.529999,124.830002,115.688683,1492400
2019-07-23,125.110001,125.769997,124.610001,125.629997,116.430084,871000
2019-07-24,127.279999,127.639999,126.769997,127.610001,118.265106,748300
2019-07-25,126.800003,126.849998,125.110001,125.389999,116.207672,669900
2019-07-26,126.870003,127.250000,126.720001,126.989998,117.690498,366900
2019-07-29,127.620003,127.620003,126.190002,126.430000,117.171509,440500
2019-07-30,123.849998,124.029999,122.589996,123.000000,113.992691,708000
2019-07-31,124.269997,124.839996,122.089996,123.029999,114.020500,465100
2019-08-01,123.570000,125.360001,122.610001,123.070000,114.057556,618700
2019-08-02,122.570000,122.720001,121.199997,121.680000,112.769356,656800
2019-08-05,120.019997,120.150002,117.870003,118.730003,110.035385,759600
2019-08-06,117.940002,118.519997,116.489998,117.650002,109.034470,921500
2019-08-07,119.010002,120.529999,118.300003,120.470001,111.647964,1024900
2019-08-08,120.790001,121.820000,120.680000,121.519997,112.621071,475900
2019-08-09,119.360001,120.070000,118.559998,119.750000,110.980690,403000
2019-08-12,119.489998,119.949997,118.790001,119.099998,110.378281,240900
2019-08-13,118.790001,121.459999,118.570000,120.930000,112.074272,681900
2019-08-14,117.580002,118.070000,116.559998,116.870003,108.311592,776700
2019-08-15,117.480003,118.360001,116.629997,117.160004,108.580360,589600
2019-08-16,117.940002,119.400002,117.930000,118.980003,110.267082,295800
2019-08-19,120.250000,120.260002,119.480003,119.699997,110.934349,279400
