Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,54.669998,54.910000,54.330002,54.590000,50.363182,7265200
2019-04-17,54.680000,54.830002,54.389999,54.480000,50.261700,7792200
2019-04-18,54.439999,54.669998,54.230000,54.520000,50.298607,8233000
2019-04-22,54.400002,54.680000,54.200001,54.619999,50.390869,6088100
2019-04-23,54.750000,55.139999,54.720001,54.939999,50.686081,10923400
2019-04-24,55.000000,55.529999,54.959999,55.180000,50.907505,8769800
2019-04-25,55.150002,55.220001,54.580002,55.009998,50.750668,8226100
2019-04-26,55.220001,55.490002,55.009998,55.410000,51.119690,7101600
2019-04-29,55.290001,55.490002,55.080002,55.080002,50.815247,6443000
2019-04-30,55.060001,55.380001,54.840000,55.330002,51.045883,10562300
2019-05-01,55.320000,55.419998,54.799999,54.880001,50.630741,7792700
2019-05-02,54.810001,55.049999,54.459999,54.599998,50.372414,9652200
2019-05-03,54.799999,55.020000,54.669998,54.790001,50.547707,11066500
2019-05-06,53.900002,55.000000,53.830002,54.849998,50.603046,9305400
2019-05-07,54.200001,54.639999,53.650002,54.000000,49.818871,11712400
2019-05-08,54.349998,54.430000,53.810001,53.990002,49.809650,10729800
2019-05-09,53.459999,54.349998,53.080002,54.250000,50.049515,10711800
2019-05-10,53.770000,54.970001,53.509998,54.650002,50.418537,11200300
2019-05-13,53.720001,53.950001,53.389999,53.430000,49.293003,10664700
2019-05-14,53.639999,54.619999,53.360001,54.130001,49.938797,11520800
2019-05-15,53.910000,54.810001,53.840000,54.560001,50.335506,8573000
2019-05-16,54.910000,55.150002,54.549999,54.639999,50.409317,10013800
2019-05-17,54.189999,54.919998,54.189999,54.500000,50.280163,9057100
2019-05-20,53.950001,54.360001,53.529999,53.660000,49.505196,9820200
2019-05-21,54.209999,54.270000,54.029999,54.169998,49.975708,8482000
2019-05-22,54.230000,54.549999,54.040001,54.200001,50.003380,8389700
2019-05-23,53.720001,53.720001,52.509998,53.080002,48.970100,11213900
2019-05-24,53.380001,53.470001,52.590000,52.770000,48.684113,9090700
2019-05-28,53.080002,53.279999,51.750000,51.750000,47.743084,28230400
2019-05-29,51.430000,51.810001,51.049999,51.689999,47.687721,12448700
2019-05-30,51.930000,52.029999,51.459999,51.720001,47.715405,8569500
2019-05-31,51.240002,51.360001,50.509998,50.599998,46.682117,11847100
2019-06-03,50.560001,51.080002,49.889999,50.240002,46.350002,17434400
2019-06-04,50.790001,52.240002,50.630001,52.020000,47.992172,17073200
2019-06-05,52.779999,53.240002,51.849998,52.099998,48.065975,15855300
2019-06-06,52.090000,52.740002,51.860001,52.590000,48.518044,10266900
2019-06-07,52.799999,53.419998,52.779999,53.259998,49.136158,11591800
2019-06-10,53.680000,54.410000,53.570000,54.009998,49.828094,12984600
2019-06-11,54.500000,54.610001,53.840000,53.939999,49.763512,11288400
2019-06-12,53.680000,54.049999,53.430000,53.619999,49.468288,10235400
2019-06-13,53.980000,53.980000,53.439999,53.840000,49.671261,11289100
2019-06-14,53.610001,53.830002,53.279999,53.279999,49.154617,12973000
2019-06-17,53.340000,53.549999,52.950001,53.130001,49.016228,15207900
2019-06-18,52.860001,53.599998,52.410000,52.900002,48.804039,20999700
2019-06-19,52.750000,53.130001,52.250000,52.680000,48.601070,35449500
2019-06-20,55.980000,57.470001,55.529999,56.990002,52.577354,54173900
2019-06-21,57.139999,57.150002,56.060001,56.119999,51.774715,45169000
2019-06-24,56.250000,57.299999,55.900002,56.740002,52.346718,19544200
2019-06-25,56.869999,57.180000,56.060001,56.070000,51.728592,25462100
2019-06-26,56.430000,56.849998,56.240002,56.660000,52.272907,15045200
2019-06-27,57.000000,57.389999,56.759998,56.770000,52.374382,12605800
2019-06-28,56.900002,57.080002,56.360001,56.970001,52.558895,42570500
2019-07-01,57.150002,58.090000,57.029999,58.009998,53.518379,20413000
2019-07-02,57.880001,58.560001,57.770000,58.459999,53.933537,17569600
2019-07-03,58.450001,58.950001,58.380001,58.860001,54.302563,9989100
2019-07-05,58.529999,59.520000,58.340000,59.279999,54.690048,13838900
2019-07-08,59.189999,59.669998,59.009998,59.529999,54.920685,16105600
2019-07-09,59.200001,59.630001,59.009998,59.599998,54.985271,14348600
2019-07-10,59.939999,60.500000,59.750000,60.150002,55.492680,16059100
2019-07-11,60.180000,60.209999,59.400002,59.990002,55.345074,11150200
2019-07-12,60.090000,60.090000,59.299999,59.810001,55.179001,11234300
2019-07-15,59.849998,59.849998,59.250000,59.529999,54.920685,10721600
2019-07-16,59.169998,59.480000,58.590000,58.610001,54.290798,9698900
2019-07-17,58.799999,58.950001,57.990002,57.990002,53.716492,9090900
2019-07-18,57.689999,58.139999,57.599998,58.119999,53.836910,11882300
2019-07-19,58.310001,58.529999,57.520000,57.540001,53.299664,11663500
2019-07-22,57.880001,58.080002,57.549999,57.599998,53.355232,8761700
2019-07-23,58.060001,58.139999,57.450001,57.450001,53.216282,8141100
2019-07-24,57.450001,58.220001,57.380001,58.110001,53.827648,10778700
2019-07-25,58.369999,58.630001,58.080002,58.290001,53.994389,8175900
2019-07-26,58.340000,58.650002,58.200001,58.500000,54.188908,6057200
2019-07-29,58.790001,58.790001,57.799999,58.060001,53.781330,7439300
2019-07-30,57.759998,58.150002,57.430000,57.490002,53.253330,6367200
2019-07-31,57.880001,57.880001,55.619999,56.299999,52.151031,11966700
2019-08-01,56.299999,56.849998,55.520000,55.880001,51.761982,10215200
2019-08-02,56.189999,56.189999,55.000000,55.840000,51.724937,12644400
2019-08-05,55.099998,55.099998,53.689999,53.759998,49.798218,16204600
2019-08-06,54.200001,54.450001,53.610001,53.959999,49.983475,13149500
2019-08-07,53.130001,54.070000,52.970001,53.340000,49.409168,16344100
2019-08-08,53.720001,54.750000,53.720001,54.650002,50.622635,12460700
2019-08-09,54.240002,54.470001,53.520000,53.900002,49.927902,8471300
2019-08-12,53.680000,53.790001,53.000000,53.250000,49.325806,6580100
2019-08-13,53.139999,54.240002,53.000000,53.970001,49.992737,11014800
2019-08-14,53.349998,53.369999,52.240002,52.320000,48.464329,12489200
2019-08-15,52.650002,52.720001,51.959999,52.590000,48.714439,11257000
2019-08-16,53.180000,53.700001,53.009998,53.590000,49.640743,9913100
2019-08-19,54.220001,54.369999,53.759998,53.869999,49.900101,8273100
2019-08-20,53.520000,53.840000,52.900002,52.980000,49.075699,7577800
2019-08-21,53.529999,53.930000,53.169998,53.240002,49.316540,6113100
2019-08-22,53.580002,53.720001,52.889999,53.189999,49.270218,6744900
2019-08-23,53.060001,53.320000,51.250000,51.580002,47.778866,11374500
2019-08-26,52.139999,52.320000,51.830002,52.130001,48.288334,8582300
2019-08-27,52.439999,52.619999,52.220001,52.389999,48.529179,13853100
2019-08-28,52.200001,52.200001,51.619999,51.950001,48.121613,7499000
2019-08-29,52.650002,52.810001,52.090000,52.160000,48.316132,6858000
2019-08-30,52.500000,52.549999,51.750000,52.060001,48.223495,7920000
2019-09-03,51.939999,52.000000,51.549999,51.889999,48.066021,10128000
2019-09-04,52.349998,53.130001,52.220001,52.970001,49.066444,10558300
2019-09-05,53.730000,54.330002,53.630001,53.840000,49.872318,10414500
2019-09-06,54.099998,54.139999,53.139999,53.160000,49.242439,11636100
2019-09-09,53.619999,54.680000,53.450001,54.540001,50.520729,17803800
2019-09-10,54.540001,55.470001,54.139999,55.470001,51.382198,19976400
2019-09-11,55.270000,56.290001,55.160000,56.290001,52.141777,16749400
2019-09-12,54.340000,54.880001,52.900002,53.889999,49.918633,28184400
2019-09-13,54.000000,54.720001,53.330002,53.750000,49.788960,14736700
2019-09-16,53.400002,53.570000,52.790001,53.139999,49.223904,15204200
2019-09-17,53.180000,53.200001,52.349998,52.869999,48.973812,11111400
2019-09-18,52.820000,52.840000,51.860001,52.560001,48.686649,8911800
2019-09-19,52.389999,53.669998,52.389999,53.369999,49.436954,14855000
2019-09-20,53.709999,54.250000,53.419998,53.470001,49.529587,59517000
2019-09-23,53.169998,54.169998,53.060001,54.020000,50.039059,13863100
2019-09-24,54.139999,54.490002,53.119999,53.349998,49.418434,15354800
2019-09-25,53.310001,53.950001,52.889999,53.840000,49.872318,11607200
2019-09-26,54.110001,54.330002,53.470001,53.959999,49.983475,13324300
2019-09-27,54.189999,54.599998,53.619999,54.090000,50.103901,12391100
2019-09-30,54.250000,55.279999,54.049999,55.029999,50.974621,17445100
2019-10-01,55.040001,55.639999,53.750000,53.799999,49.835274,16443200
2019-10-02,53.500000,53.560001,52.680000,53.150002,49.233173,15923700
2019-10-03,53.060001,53.880001,52.939999,53.860001,49.890846,11268500
2019-10-04,54.000000,55.180000,53.840000,55.139999,51.076519,13659500
2019-10-07,55.070000,55.360001,54.750000,54.799999,50.761578,12352100
2019-10-08,54.290001,54.709999,53.770000,54.049999,50.066853,14771500
2019-10-09,54.150002,54.990002,54.060001,54.529999,50.736752,12803100
2019-10-10,54.450001,55.599998,54.349998,55.490002,51.629990,13789000
2019-10-11,55.919998,57.330002,55.709999,56.889999,52.932590,18675200
2019-10-14,56.830002,57.209999,56.410000,56.459999,52.532509,11079600
2019-10-15,56.630001,56.820000,56.349998,56.349998,52.430157,9150100
